time,mass,MOIx,MOIy,MOIz,centre-of-mass
71.785000,37.811851,0.196000,218.988000,218.988000,1.965960
71.790000,37.811851,0.196000,218.988000,218.988000,1.965960
71.795000,37.811851,0.196000,218.988000,218.988000,1.965960
71.800000,37.811851,0.196000,218.988000,218.988000,1.965960
71.805000,37.811851,0.196000,218.988000,218.988000,1.965960
71.810000,37.811851,0.196000,218.988000,218.988000,1.965960
71.815000,37.811851,0.196000,218.988000,218.988000,1.965960
71.820000,37.811851,0.196000,218.988000,218.988000,1.965960
71.825000,37.811851,0.196000,218.988000,218.988000,1.965960
71.830000,37.811851,0.196000,218.988000,218.988000,1.965960
71.835000,37.811851,0.196000,218.988000,218.988000,1.965960
71.840000,37.811851,0.196000,218.988000,218.988000,1.965960
71.845000,37.811851,0.196000,218.988000,218.988000,1.965960
71.850000,37.811851,0.196000,218.988000,218.988000,1.965960
71.855000,37.811851,0.196000,218.988000,218.988000,1.965960
71.860000,37.811851,0.196000,218.988000,218.988000,1.965960
71.865000,37.811851,0.196000,218.988000,218.988000,1.965960
71.870000,37.811851,0.196000,218.988000,218.988000,1.965960
71.875000,37.811851,0.196000,218.988000,218.988000,1.965960
71.880000,37.811851,0.196000,218.988000,218.988000,1.965960
71.885000,37.811851,0.196000,218.988000,218.988000,1.965960
71.890000,37.811851,0.196000,218.988000,218.988000,1.965960
71.895000,37.811851,0.196000,218.988000,218.988000,1.965960
71.900000,37.811851,0.196000,218.988000,218.988000,1.965960
71.905000,37.811851,0.196000,218.988000,218.988000,1.965960
71.910000,37.811851,0.196000,218.988000,218.988000,1.965960
71.915000,37.811851,0.196000,218.988000,218.988000,1.965960
71.920000,37.811851,0.196000,218.988000,218.988000,1.965960
71.925000,37.811851,0.196000,218.988000,218.988000,1.965960
71.930000,37.811851,0.196000,218.988000,218.988000,1.965960
71.935000,37.811851,0.196000,218.988000,218.988000,1.965960
71.940000,37.811851,0.196000,218.988000,218.988000,1.965960
71.945000,37.811851,0.196000,218.988000,218.988000,1.965960
71.950000,37.811851,0.196000,218.988000,218.988000,1.965960
71.955000,37.811851,0.196000,218.988000,218.988000,1.965960
71.960000,37.811851,0.196000,218.988000,218.988000,1.965960
71.965000,37.811851,0.196000,218.988000,218.988000,1.965960
71.970000,37.811851,0.196000,218.988000,218.988000,1.965960
71.975000,37.811851,0.196000,218.988000,218.988000,1.965960
71.980000,37.811851,0.196000,218.988000,218.988000,1.965960
71.985000,37.811851,0.196000,218.988000,218.988000,1.965960
71.990000,37.811851,0.196000,218.988000,218.988000,1.965960
71.995000,37.811851,0.196000,218.988000,218.988000,1.965960
72.000000,37.811851,0.196000,218.988000,218.988000,1.965960
72.005000,37.811851,0.196000,218.988000,218.988000,1.965960
72.010000,37.811851,0.196000,218.988000,218.988000,1.965960
72.015000,37.811851,0.196000,218.988000,218.988000,1.965960
72.020000,37.811851,0.196000,218.988000,218.988000,1.965960
72.025000,37.811851,0.196000,218.988000,218.988000,1.965960
72.030000,37.811851,0.196000,218.988000,218.988000,1.965960
72.035000,37.811851,0.196000,218.988000,218.988000,1.965960
72.040000,37.811851,0.196000,218.988000,218.988000,1.965960
72.045000,37.811851,0.196000,218.988000,218.988000,1.965960
72.050000,37.811851,0.196000,218.988000,218.988000,1.965960
72.055000,37.811851,0.196000,218.988000,218.988000,1.965960
72.060000,37.811851,0.196000,218.988000,218.988000,1.965960
72.065000,37.811851,0.196000,218.988000,218.988000,1.965960
72.070000,37.811851,0.196000,218.988000,218.988000,1.965960
72.075000,37.811851,0.196000,218.988000,218.988000,1.965960
72.080000,37.811851,0.196000,218.988000,218.988000,1.965960
72.085000,37.811851,0.196000,218.988000,218.988000,1.965960
72.090000,37.811851,0.196000,218.988000,218.988000,1.965960
72.095000,37.811851,0.196000,218.988000,218.988000,1.965960
72.100000,37.811851,0.196000,218.988000,218.988000,1.965960
72.105000,37.811851,0.196000,218.988000,218.988000,1.965960
72.110000,37.811851,0.196000,218.988000,218.988000,1.965960
72.115000,37.811851,0.196000,218.988000,218.988000,1.965960
72.120000,37.811851,0.196000,218.988000,218.988000,1.965960
72.125000,37.811851,0.196000,218.988000,218.988000,1.965960
72.130000,37.811851,0.196000,218.988000,218.988000,1.965960
72.135000,37.811851,0.196000,218.988000,218.988000,1.965960
72.140000,37.811851,0.196000,218.988000,218.988000,1.965960
72.145000,37.811851,0.196000,218.988000,218.988000,1.965960
72.150000,37.811851,0.196000,218.988000,218.988000,1.965960
72.155000,37.811851,0.196000,218.988000,218.988000,1.965960
72.160000,37.811851,0.196000,218.988000,218.988000,1.965960
72.165000,37.811851,0.196000,218.988000,218.988000,1.965960
72.170000,37.811851,0.196000,218.988000,218.988000,1.965960
72.175000,37.811851,0.196000,218.988000,218.988000,1.965960
72.180000,37.811851,0.196000,218.988000,218.988000,1.965960
72.185000,37.811851,0.196000,218.988000,218.988000,1.965960
72.190000,37.811851,0.196000,218.988000,218.988000,1.965960
72.195000,37.811851,0.196000,218.988000,218.988000,1.965960
72.200000,37.811851,0.196000,218.988000,218.988000,1.965960
