altitude,temperature,pressure,density
19100.000000,216.660000,6341.169171,0.101961
19200.000000,216.660000,6242.596593,0.100376
19300.000000,216.660000,6145.562343,0.098816
19400.000000,216.660000,6050.042320,0.097280
19500.000000,216.660000,5956.012803,0.095768
19600.000000,216.660000,5863.450442,0.094280
19700.000000,216.660000,5772.332256,0.092815
19800.000000,216.660000,5682.635625,0.091372
19900.000000,216.660000,5594.338283,0.089953
20000.000000,216.660000,5507.418316,0.088555
20100.000000,216.760000,5389.444977,0.086619
20200.000000,216.860000,5305.541838,0.085231
20300.000000,216.960000,5222.987818,0.083866
20400.000000,217.060000,5141.760540,0.082524
20500.000000,217.160000,5061.838011,0.081204
20600.000000,217.260000,4983.198613,0.079905
20700.000000,217.360000,4905.821095,0.078628
20800.000000,217.460000,4829.684572,0.077373
20900.000000,217.560000,4754.768513,0.076137
21000.000000,217.660000,4681.052737,0.074923
21100.000000,217.760000,4608.517407,0.073728
21200.000000,217.860000,4537.143025,0.072553
21300.000000,217.960000,4466.910423,0.071397
21400.000000,218.060000,4397.800760,0.070260
21500.000000,218.160000,4329.795515,0.069142
21600.000000,218.260000,4262.876482,0.068042
21700.000000,218.360000,4197.025764,0.066960
21800.000000,218.460000,4132.225768,0.065896
21900.000000,218.560000,4068.459200,0.064850
22000.000000,218.660000,4005.709057,0.063820
22100.000000,218.760000,3943.958629,0.062808
22200.000000,218.860000,3883.191483,0.061812
22300.000000,218.960000,3823.391468,0.060832
22400.000000,219.060000,3764.542707,0.059868
22500.000000,219.160000,3706.629589,0.058920
22600.000000,219.260000,3649.636768,0.057988
22700.000000,219.360000,3593.549159,0.057071
22800.000000,219.460000,3538.351928,0.056169
22900.000000,219.560000,3484.030496,0.055281
23000.000000,219.660000,3430.570526,0.054408
23100.000000,219.760000,3377.957925,0.053549
23200.000000,219.860000,3326.178837,0.052704
23300.000000,219.960000,3275.219640,0.051873
23400.000000,220.060000,3225.066941,0.051056
23500.000000,220.160000,3175.707571,0.050252
23600.000000,220.260000,3127.128586,0.049460
23700.000000,220.360000,3079.317255,0.048682
23800.000000,220.460000,3032.261066,0.047916
23900.000000,220.560000,2985.947713,0.047163
24000.000000,220.660000,2940.365099,0.046422
24100.000000,220.760000,2895.501329,0.045693
24200.000000,220.860000,2851.344708,0.044976
24300.000000,220.960000,2807.883736,0.044270
24400.000000,221.060000,2765.107108,0.043576
24500.000000,221.160000,2723.003705,0.042893
24600.000000,221.260000,2681.562598,0.042221
24700.000000,221.360000,2640.773038,0.041560
24800.000000,221.460000,2600.624456,0.040910
24900.000000,221.560000,2561.106461,0.040270
25000.000000,221.660000,2522.208834,0.039641
25100.000000,221.760000,2483.921529,0.039021
25200.000000,221.860000,2446.234665,0.038412
25300.000000,221.960000,2409.138526,0.037812
25400.000000,222.060000,2372.623561,0.037223
25500.000000,222.160000,2336.680375,0.036642
25600.000000,222.260000,2301.299730,0.036071
25700.000000,222.360000,2266.472544,0.035509
25800.000000,222.460000,2232.189883,0.034956
25900.000000,222.560000,2198.442964,0.034412
26000.000000,222.660000,2165.223149,0.033877
26100.000000,222.760000,2132.521943,0.033351
26200.000000,222.860000,2100.330993,0.032832
26300.000000,222.960000,2068.642084,0.032323
26400.000000,223.060000,2037.447139,0.031821
26500.000000,223.160000,2006.738212,0.031327
26600.000000,223.260000,1976.507490,0.030841
26700.000000,223.360000,1946.747291,0.030363
26800.000000,223.460000,1917.450058,0.029893
26900.000000,223.560000,1888.608360,0.029430
27000.000000,223.660000,1860.214890,0.028975
27100.000000,223.760000,1832.262458,0.028527
27200.000000,223.860000,1804.743998,0.028086
27300.000000,223.960000,1777.652557,0.027652
27400.000000,224.060000,1750.981299,0.027225
27500.000000,224.160000,1724.723498,0.026805
27600.000000,224.260000,1698.872541,0.026391
27700.000000,224.360000,1673.421925,0.025984
27800.000000,224.460000,1648.365252,0.025584
27900.000000,224.560000,1623.696230,0.025190
28000.000000,224.660000,1599.408670,0.024802
28100.000000,224.760000,1575.496488,0.024420
28200.000000,224.860000,1551.953695,0.024044
28300.000000,224.960000,1528.774404,0.023675
28400.000000,225.060000,1505.952824,0.023311
28500.000000,225.160000,1483.483259,0.022953
28600.000000,225.260000,1461.360105,0.022601
28700.000000,225.360000,1439.577852,0.022254
28800.000000,225.460000,1418.131080,0.021913
28900.000000,225.560000,1397.014457,0.021577
29000.000000,225.660000,1376.222739,0.021246
29100.000000,225.760000,1355.750767,0.020921
29200.000000,225.860000,1335.593467,0.020601
29300.000000,225.960000,1315.745848,0.020286
29400.000000,226.060000,1296.203001,0.019975
29500.000000,226.160000,1276.960096,0.019670
29600.000000,226.260000,1258.012383,0.019370
29700.000000,226.360000,1239.355189,0.019074
29800.000000,226.460000,1220.983918,0.018783
