time,thrust
0.776000,5665.729744
0.778000,5664.948943
0.780000,5664.169007
0.782000,5663.389934
0.784000,5662.611721
0.786000,5661.834366
0.788000,5661.057867
0.790000,5660.282220
0.792000,5659.507424
0.794000,5658.733475
0.796000,5657.960372
0.798000,5657.188112
0.800000,5656.416692
0.802000,5655.646110
0.804000,5654.876363
0.806000,5654.107450
0.808000,5653.339367
0.810000,5652.572112
0.812000,5651.805683
0.814000,5651.040077
0.816000,5650.275292
0.818000,5649.511325
0.820000,5648.748174
0.822000,5647.985837
0.824000,5647.224311
0.826000,5646.463594
0.828000,5645.703684
0.830000,5644.944578
0.832000,5644.186273
0.834000,5643.428768
0.836000,5642.672060
0.838000,5641.916147
0.840000,5641.161026
0.842000,5640.406696
0.844000,5639.653153
0.846000,5638.900396
0.848000,5638.148421
0.850000,5637.397228
0.852000,5636.646813
0.854000,5635.897175
0.856000,5635.148311
0.858000,5634.400218
0.860000,5633.652895
0.862000,5632.906339
0.864000,5632.160549
0.866000,5631.415521
0.868000,5630.671253
0.870000,5629.927745
0.872000,5629.184992
0.874000,5628.442993
0.876000,5627.701746
0.878000,5626.961248
0.880000,5626.221498
0.882000,5625.482493
0.884000,5624.744231
0.886000,5624.006709
0.888000,5623.269927
0.890000,5622.533881
0.892000,5621.798569
0.894000,5621.063990
0.896000,5620.330140
0.898000,5619.597019
0.900000,5618.864624
0.902000,5618.132952
0.904000,5617.402003
0.906000,5616.671794
0.908000,5615.942327
0.910000,5615.213595
0.912000,5614.485594
0.914000,5613.758320
0.916000,5613.031771
0.918000,5612.305945
0.920000,5611.580840
0.922000,5610.856456
0.924000,5610.132790
0.926000,5609.409841
0.928000,5608.687609
0.930000,5607.966091
0.932000,5607.245287
0.934000,5606.525195
0.936000,5605.805815
0.938000,5605.087144
0.940000,5604.369183
0.942000,5603.651929
0.944000,5602.935381
0.946000,5602.219540
0.948000,5601.504402
0.950000,5600.789968
0.952000,5600.076235
0.954000,5599.363203
0.956000,5598.650872
0.958000,5597.939238
0.960000,5597.228303
0.962000,5596.518063
0.964000,5595.808519
0.966000,5595.099669
0.968000,5594.391513
0.970000,5593.684048
0.972000,5592.977274
0.974000,5592.271190
0.976000,5591.565795
0.978000,5590.861087
0.980000,5590.157066
0.982000,5589.453730
0.984000,5588.751079
0.986000,5588.049112
0.988000,5587.347827
0.990000,5586.647223
0.992000,5585.947299
0.994000,5585.248055
0.996000,5584.549489
0.998000,5583.851600
1.000000,5583.154388
1.002000,5582.457850
1.004000,5581.761987
1.006000,5581.066797
1.008000,5580.372279
1.010000,5579.678432
1.012000,5578.985255
1.014000,5578.292747
1.016000,5577.600908
1.018000,5576.909735
1.020000,5576.219229
1.022000,5575.529388
1.024000,5574.840212
1.026000,5574.151698
1.028000,5573.463847
1.030000,5572.776657
1.032000,5572.090128
1.034000,5571.404258
1.036000,5570.719047
1.038000,5570.034493
1.040000,5569.350595
1.042000,5568.667354
1.044000,5567.984767
1.046000,5567.302833
1.048000,5566.621553
1.050000,5565.940925
1.052000,5565.260948
1.054000,5564.581620
1.056000,5563.902942
1.058000,5563.224913
1.060000,5562.547530
1.062000,5561.870794
1.064000,5561.194704
1.066000,5560.519259
1.068000,5559.844457
1.070000,5559.170298
1.072000,5558.496781
1.074000,5557.823905
1.076000,5557.151670
1.078000,5556.480074
1.080000,5555.809116
1.082000,5555.138797
1.084000,5554.469114
1.086000,5553.800066
1.088000,5553.131654
1.090000,5552.463877
1.092000,5551.796732
1.094000,5551.130220
1.096000,5550.464340
1.098000,5549.799090
1.100000,5549.134471
1.102000,5548.470481
1.104000,5547.807119
1.106000,5547.144384
1.108000,5546.482277
1.110000,5545.820795
1.112000,5545.159938
1.114000,5544.499705
1.116000,5543.840096
1.118000,5543.181109
1.120000,5542.522744
1.122000,5541.865000
1.124000,5541.207876
1.126000,5540.551372
1.128000,5539.895486
1.130000,5539.240218
1.132000,5538.585567
1.134000,5537.931532
1.136000,5537.278113
1.138000,5536.625308
1.140000,5535.973117
1.142000,5535.321539
1.144000,5534.670573
1.146000,5534.020219
1.148000,5533.370476
1.150000,5532.721342
1.152000,5532.072818
1.154000,5531.424902
1.156000,5530.777594
1.158000,5530.130893
1.160000,5529.484799
1.162000,5528.839309
1.164000,5528.194424
1.166000,5527.550135
1.168000,5526.906431
1.170000,5526.263314
1.172000,5525.620786
1.174000,5524.978848
1.176000,5524.337499
1.178000,5523.696739
1.180000,5523.056567
1.182000,5522.416981
1.184000,5521.777982
1.186000,5521.139568
1.188000,5520.501738
1.190000,5519.864491
1.192000,5519.227826
1.194000,5518.591742
1.196000,5517.956238
1.198000,5517.321312
1.200000,5516.686965
1.202000,5516.053193
1.204000,5515.419998
1.206000,5514.787377
1.208000,5514.155330
1.210000,5513.523855
1.212000,5512.892951
1.214000,5512.262618
1.216000,5511.632854
1.218000,5511.003658
1.220000,5510.375029
1.222000,5509.746967
1.224000,5509.119469
1.226000,5508.492536
1.228000,5507.866165
1.230000,5507.240356
1.232000,5506.615108
1.234000,5505.990420
1.236000,5505.366290
1.238000,5504.742719
1.240000,5504.119703
1.242000,5503.497244
1.244000,5502.875339
1.246000,5502.253987
1.248000,5501.633188
1.250000,5501.012940
1.252000,5500.393243
1.254000,5499.774095
1.256000,5499.155495
1.258000,5498.537442
1.260000,5497.919936
1.262000,5497.302975
1.264000,5496.686558
1.266000,5496.070684
1.268000,5495.455352
1.270000,5494.840562
1.272000,5494.226311
1.274000,5493.612599
1.276000,5492.999425
1.278000,5492.386788
1.280000,5491.774687
1.282000,5491.163121
1.284000,5490.552089
1.286000,5489.941589
1.288000,5489.331621
1.290000,5488.722184
1.292000,5488.113277
1.294000,5487.504899
1.296000,5486.897048
1.298000,5486.289724
1.300000,5485.682925
1.302000,5485.076652
1.304000,5484.470902
1.306000,5483.865674
1.308000,5483.260968
1.310000,5482.656783
1.312000,5482.053118
1.314000,5481.449971
1.316000,5480.847341
1.318000,5480.245229
1.320000,5479.643632
1.322000,5479.042549
1.324000,5478.441980
1.326000,5477.841923
1.328000,5477.242379
1.330000,5476.643344
1.332000,5476.044820
1.334000,5475.446804
1.336000,5474.849295
1.338000,5474.252293
1.340000,5473.655797
1.342000,5473.059805
1.344000,5472.464317
1.346000,5471.869332
1.348000,5471.274848
1.350000,5470.680865
1.352000,5470.087382
1.354000,5469.494397
1.356000,5468.901910
1.358000,5468.309920
1.360000,5467.718425
1.362000,5467.127425
1.364000,5466.536920
1.366000,5465.946907
1.368000,5465.357385
1.370000,5464.768355
1.372000,5464.179815
1.374000,5463.591763
1.376000,5463.004199
1.378000,5462.417123
1.380000,5461.830532
1.382000,5461.244427
1.384000,5460.658806
1.386000,5460.073667
1.388000,5459.489011
1.390000,5458.904837
1.392000,5458.321142
1.394000,5457.737927
1.396000,5457.155190
1.398000,5456.572931
1.400000,5455.991148
1.402000,5455.409840
1.404000,5454.829007
1.406000,5454.248648
1.408000,5453.668761
1.410000,5453.089346
1.412000,5452.510402
1.414000,5451.931927
1.416000,5451.353921
1.418000,5450.776384
1.420000,5450.199313
1.422000,5449.622708
1.424000,5449.046569
1.426000,5448.470893
1.428000,5447.895681
1.430000,5447.320932
1.432000,5446.746643
1.434000,5446.172815
1.436000,5445.599447
1.438000,5445.026537
1.440000,5444.454085
1.442000,5443.882089
1.444000,5443.310550
1.446000,5442.739465
1.448000,5442.168834
1.450000,5441.598657
1.452000,5441.028931
1.454000,5440.459657
1.456000,5439.890833
1.458000,5439.322459
1.460000,5438.754533
1.462000,5438.187053
1.464000,5437.620020
1.466000,5437.053431
1.468000,5436.487287
1.470000,5435.921586
1.472000,5435.356328
1.474000,5434.791512
1.476000,5434.227138
1.478000,5433.663204
1.480000,5433.099710
1.482000,5432.536655
1.484000,5431.974039
1.486000,5431.411860
